x-axis,1,2,3
second,Volt,Volt,Volt
-114.102598E-03,+22.123452E-03,+15.794940E-03,+17.038820E-03
-114.099498E-03,+20.180134E-03,+15.794940E-03,+31.078446E-03
-114.096398E-03,+17.372210E-03,+15.794940E-03,+17.038826E-03
-114.093298E-03,+22.123452E-03,+15.794940E-03,+31.078440E-03
-114.090198E-03,+20.180132E-03,+15.794940E-03,+17.038832E-03
-114.087098E-03,+19.315532E-03,+25.511542E-03,+40.795036E-03
-114.083998E-03,+26.874692E-03,+49.267743E-03,+31.078431E-03
-114.080898E-03,+24.066774E-03,+49.267743E-03,-2.394374E-03
-114.077798E-03,+26.874691E-03,+49.267743E-03,-16.433959E-03
-114.074698E-03,+24.066775E-03,+49.267743E-03,+7.322233E-03
-114.071598E-03,+28.818013E-03,+39.551127E-03,+7.322233E-03
-114.068498E-03,+26.874689E-03,+25.511559E-03,+17.038852E-03
-114.065398E-03,+24.066777E-03,+39.551122E-03,+31.078414E-03
-114.062298E-03,+26.874688E-03,+25.511564E-03,+7.322233E-03
-114.059198E-03,+24.066778E-03,+39.551116E-03,+17.038860E-03
-114.056098E-03,+26.874687E-03,+6.078311E-03,+21.361776E-03
-114.052998E-03,+22.123452E-03,-7.961230E-03,-16.433937E-03
-114.049898E-03,+24.066779E-03,+15.794940E-03,+7.322233E-03
-114.046798E-03,+28.818013E-03,+6.078302E-03,+17.038871E-03
-114.043698E-03,+24.931356E-03,-17.677862E-03,+31.078395E-03
-114.040598E-03,+19.315549E-03,-7.961218E-03,+7.322233E-03
-114.037498E-03,+24.931354E-03,+15.794940E-03,+17.038880E-03
-114.034398E-03,+19.315551E-03,+15.794940E-03,+31.078386E-03
-114.031298E-03,+26.874683E-03,+6.078288E-03,+7.322233E-03
-114.028198E-03,+24.066783E-03,-7.961207E-03,+7.322233E-03
-114.025098E-03,+28.818013E-03,+25.511598E-03,+17.038891E-03
-114.021998E-03,+28.818013E-03,+39.551082E-03,+31.078375E-03
-114.018898E-03,+28.818013E-03,+15.794940E-03,-2.394431E-03
-114.015798E-03,+26.874680E-03,+15.794940E-03,-16.433903E-03
-114.012698E-03,+20.180118E-03,+25.511610E-03,+17.038903E-03
-114.009598E-03,+17.372226E-03,+29.834398E-03,+31.078363E-03
-114.006498E-03,+20.180117E-03,+1.755488E-03,+7.322233E-03
-114.003398E-03,+15.428891E-03,+49.267743E-03,+17.038911E-03
-114.000298E-03,+17.372228E-03,+39.551062E-03,+40.795036E-03
-113.997198E-03,+20.180115E-03,+25.511624E-03,+21.361668E-03
-113.994098E-03,+11.542217E-03,+29.834370E-03,-6.717196E-03
-113.990998E-03,+5.926446E-03,-7.961173E-03,+40.795036E-03
-113.987898E-03,+11.542214E-03,+15.794940E-03,+21.361651E-03
-113.984798E-03,+2.039770E-03,+25.511635E-03,-6.717179E-03
-113.981698E-03,+2.039770E-03,+29.834347E-03,+40.795036E-03
-113.978598E-03,+2.039770E-03,+1.755539E-03,+21.361634E-03
-113.975498E-03,+2.039770E-03,+49.267743E-03,-16.433866E-03
-113.972398E-03,+96.428E-06,+29.834330E-03,+7.322233E-03
-113.969298E-03,-4.654791E-03,-7.961153E-03,+7.322233E-03
-113.966198E-03,-2.711449E-03,+15.794940E-03,+7.322233E-03
-113.963098E-03,+96.427E-06,+25.511655E-03,-2.394482E-03
-113.959998E-03,-4.654791E-03,+20.117590E-03,-16.433852E-03
-113.956898E-03,-6.598135E-03,-31.717224E-03,+26.755674E-03
-113.953798E-03,-9.406007E-03,+6.078217E-03,+64.551115E-03
-113.950698E-03,-6.598137E-03,+1.755590E-03,+40.795036E-03
-113.947597E-03,-9.406006E-03,+39.551014E-03,+31.078307E-03
-113.944497E-03,-4.654791E-03,+6.078208E-03,-2.394499E-03
-113.941397E-03,-6.598138E-03,-7.961128E-03,-26.150569E-03
-113.938297E-03,-11.349352E-03,+6.078203E-03,-16.433832E-03
-113.935197E-03,-11.349352E-03,-7.961122E-03,+26.755714E-03
-113.932097E-03,-13.292701E-03,+15.794940E-03,+64.551095E-03
-113.928997E-03,-14.157214E-03,+25.511686E-03,+31.078290E-03
-113.925897E-03,-8.541491E-03,+29.834245E-03,+7.322233E-03
-113.922797E-03,-16.100563E-03,-7.961111E-03,-2.394518E-03
-113.919697E-03,-9.406001E-03,+25.511695E-03,-6.717060E-03
-113.916597E-03,-8.541494E-03,+39.550985E-03,+40.795036E-03
-113.913497E-03,-18.043913E-03,+15.794940E-03,+31.078276E-03
-113.910397E-03,-18.043913E-03,+15.794940E-03,+7.322233E-03
-113.907297E-03,-18.043913E-03,+15.794940E-03,+17.038999E-03
-113.904197E-03,-16.100559E-03,+25.511709E-03,+31.078267E-03
-113.901097E-03,-11.349352E-03,+39.550971E-03,+7.322233E-03
-113.897997E-03,-11.349352E-03,+6.078166E-03,+7.322233E-03
-113.894897E-03,-9.405997E-03,+1.755692E-03,+7.322233E-03
-113.891797E-03,-8.541503E-03,+39.550963E-03,+17.039013E-03
-113.888697E-03,-18.043913E-03,+6.078157E-03,+40.795036E-03
-113.885597E-03,-14.157198E-03,-7.961077E-03,+31.078250E-03
-113.882497E-03,-6.598149E-03,+15.794940E-03,+7.322233E-03
-113.879397E-03,-9.405994E-03,+15.794940E-03,+7.322233E-03
-113.876297E-03,-4.654791E-03,+35.228529E-03,-12.111355E-03
-113.873197E-03,-4.654791E-03,+63.306951E-03,-30.472981E-03
-113.870097E-03,-4.654791E-03,+6.078140E-03,+31.078236E-03
-113.866997E-03,-2.711431E-03,-7.961060E-03,-2.394569E-03
-113.863897E-03,+2.039770E-03,+6.078135E-03,-6.716958E-03
-113.860797E-03,+2.039770E-03,-7.961054E-03,+21.361419E-03
-113.857697E-03,+96.407E-06,+25.511751E-03,-6.716947E-03
-113.854597E-03,-4.654791E-03,+29.834115E-03,+31.078222E-03
-113.851497E-03,-4.654791E-03,-7.961045E-03,+17.039050E-03
-113.848397E-03,-2.711427E-03,+15.794940E-03,+31.078216E-03
-113.845297E-03,+3.983134E-03,+25.511763E-03,+7.322233E-03
-113.842197E-03,+6.790965E-03,+39.550917E-03,-2.394592E-03
-113.839097E-03,+3.983135E-03,+15.794940E-03,-16.433741E-03
-113.835997E-03,+8.734331E-03,+25.511771E-03,+7.322233E-03
-113.832897E-03,+8.734331E-03,+39.550909E-03,+7.322233E-03
-113.829797E-03,+6.790963E-03,+15.794940E-03,+7.322233E-03
-113.826697E-03,+2.039770E-03,+25.511780E-03,+17.039073E-03
-113.823597E-03,+2.039770E-03,+49.267743E-03,+31.078193E-03
-113.820497E-03,+3.983139E-03,+20.117207E-03,+7.322233E-03
-113.817397E-03,+8.734331E-03,-41.433817E-03,+17.039081E-03
-113.814297E-03,+8.734331E-03,-7.961011E-03,+31.078185E-03
-113.811197E-03,+8.734331E-03,+6.078087E-03,+7.322233E-03
-113.808097E-03,+10.677702E-03,-17.677862E-03,+17.039090E-03
-113.804997E-03,+17.372263E-03,-7.961003E-03,+31.078176E-03
-113.801897E-03,+20.180080E-03,+6.078078E-03,+7.322233E-03
-113.798797E-03,+15.428891E-03,-17.677862E-03,+7.322233E-03
-113.795697E-03,+13.485518E-03,-7.960994E-03,+7.322233E-03
-113.792597E-03,+8.734331E-03,+25.511811E-03,+17.039104E-03
-113.789497E-03,+8.734331E-03,+49.267743E-03,+31.078162E-03
-113.786397E-03,+8.734331E-03,+39.550866E-03,+26.755986E-03
-113.783297E-03,+8.734331E-03,+6.078061E-03,+74.267838E-03
-113.780197E-03,+8.734331E-03,-7.960980E-03,+54.834074E-03
-113.777097E-03,+10.677708E-03,+6.078055E-03,+17.039118E-03
-113.773997E-03,+15.428891E-03,+1.755913E-03,+40.795036E-03
-113.770897E-03,+15.428891E-03,+39.550852E-03,+40.795036E-03
-113.767797E-03,+13.485513E-03,+6.078047E-03,+40.795036E-03
-113.764697E-03,+8.734331E-03,+1.755930E-03,+31.078139E-03
-113.761597E-03,+8.734331E-03,+39.550844E-03,-2.394666E-03
-113.758497E-03,+8.734331E-03,+6.078038E-03,-16.433667E-03
-113.755397E-03,+8.734331E-03,-17.677862E-03,+7.322233E-03
-113.752297E-03,+8.734331E-03,-7.960955E-03,+17.039141E-03
-113.749197E-03,+4.847566E-03,+25.511851E-03,+21.361215E-03
-113.746097E-03,-2.711408E-03,+39.550830E-03,-16.433656E-03
-113.742997E-03,+96.386E-06,+35.228772E-03,+7.322233E-03
-113.739897E-03,-768.023E-06,+73.023626E-03,+7.322233E-03
-113.736797E-03,+6.790946E-03,+39.550821E-03,-2.394689E-03
-113.733697E-03,+96.385E-06,+15.794940E-03,-16.433645E-03
-113.730597E-03,-4.654791E-03,+15.794940E-03,-12.111622E-03
-113.727497E-03,-6.598177E-03,+15.794940E-03,-20.755651E-03
-113.724397E-03,-9.405965E-03,+25.511873E-03,+64.550905E-03
-113.721297E-03,-4.654791E-03,+39.550807E-03,+21.361164E-03
-113.718197E-03,-4.654791E-03,+15.794940E-03,-16.433631E-03
-113.715097E-03,-4.654791E-03,+15.794940E-03,+7.322233E-03
-113.711997E-03,-4.654791E-03,+15.794940E-03,+7.322233E-03
-113.708897E-03,-6.598181E-03,+25.511888E-03,+17.039180E-03
-113.705797E-03,-9.405962E-03,+29.833843E-03,+31.078086E-03
-113.702697E-03,-4.654791E-03,-7.960909E-03,-2.394720E-03
-113.699597E-03,-6.598182E-03,+15.794940E-03,-6.716658E-03
-113.696497E-03,-9.405960E-03,+35.228857E-03,+40.795036E-03
-113.693397E-03,-6.598184E-03,+53.589661E-03,+31.078074E-03
-113.690297E-03,-13.292745E-03,+1.756066E-03,+7.322233E-03
-113.687197E-03,-16.100519E-03,+39.550776E-03,+7.322233E-03
-113.684097E-03,-13.292746E-03,+6.077970E-03,+17.039203E-03
